sample_id,split,shape_type,target_role,failure_mode,feature_residual_mse_before,feature_residual_mse_after,baseline_profile_depth_rmse_m,refined_profile_depth_rmse_m,oracle_profile_depth_rmse_m,baseline_projected_mask_Dice,refined_projected_mask_Dice,oracle_projected_mask_Dice,notes
surf_shape_046_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,refinement_target,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,3.5670768194037907,0.28472881338320205,0.00023057969025119324,0.0004067592747346167,0.00012830843930873774,0.6771653543307087,0.7643312101910829,0.91875,formal 25.6 failure case; no baseline transition
surf_shape_031_flat_bottom_pit,train,flat_bottom_pit,refinement_target,profile_rmse_not_improved|dice_not_improved|forward_residual_improved_without_profile_improvement,11.177255175740962,0.3199870241717534,0.00036174996843863085,0.0005129718240420332,0.00015282541025000033,0.6200657894736842,0.6033898305084746,0.9556400506970849,formal 25.6 failure case; no baseline transition
surf_shape_083_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,refinement_target,profile_rmse_not_improved|dice_not_improved|forward_residual_improved_without_profile_improvement,9.408939096457328,0.3282616786906116,0.0004033049781607859,0.0004884613931204387,9.162499635709624e-05,0.5016216216216216,0.475177304964539,0.9228130360205832,formal 25.6 failure case; no baseline transition
surf_shape_015_rbc_like_smooth_pit,val,rbc_like_smooth_pit,refinement_target,profile_rmse_not_improved|dice_not_improved|forward_residual_improved_without_profile_improvement,16.054804047959607,0.5333837258034618,0.0002163964454773409,0.00029815023995123776,6.759837471551316e-05,0.6773547094188377,0.3671497584541063,0.9615384615384616,formal 25.6 failure case; no baseline transition
surf_shape_078_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,refinement_target,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,8.538172484915778,0.4219895228881283,0.0003507134442320541,0.00040534449599889617,0.00012683441708348883,0.562429696287964,0.7975646879756468,0.9261992619926199,formal 25.6 failure case; no baseline transition
surf_shape_047_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,refinement_target,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,60.73885975490522,0.44578128329217764,0.00043140673289178704,0.00048108724581781895,0.00021113086825279086,0.5903614457831325,0.7159090909090909,0.9133192389006343,formal 25.6 failure case; no baseline transition
surf_shape_029_flat_bottom_pit,train,flat_bottom_pit,refinement_target,profile_rmse_not_improved|dice_not_improved|forward_residual_improved_without_profile_improvement,15.128920371439134,0.5129791743973234,0.0002843868398951472,0.00032431019063950724,7.762369041606704e-05,0.45355850422195415,0.1477832512315271,0.9447236180904522,formal 25.6 failure case; no baseline transition
surf_shape_053_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,refinement_target,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,7.097768556666476,0.44441481030985325,0.00026812982636753856,0.0003023904117035463,0.00010562940262126643,0.5475,0.6875,0.9191489361702128,formal 25.6 failure case; no baseline transition
surf_shape_086_elongated_crack_like_surface_defect,test,elongated_crack_like_surface_defect,refinement_target,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,17.40824163404613,0.4706389457077624,0.00040491627495931363,0.00041990057261451577,0.00011708935720932167,0.5071982281284607,0.7145038167938931,0.9205702647657841,formal 25.6 failure case; no baseline transition
surf_shape_027_flat_bottom_pit,train,flat_bottom_pit,refinement_target,dice_not_improved,88.64055879960196,0.8641784263323669,0.00038489836604100886,0.00027058121381327393,7.772328842244177e-05,0.5714285714285714,0.5551330798479087,0.9569620253164557,formal 25.6 failure case; no baseline transition
surf_shape_016_rbc_like_smooth_pit,val,rbc_like_smooth_pit,refinement_target,dice_not_improved,135.71039923670028,0.3896987495302258,0.0004720432842972136,0.0003461477020098763,7.532397375957961e-05,0.5903698534542917,0.561344537815126,0.9649532710280374,formal 25.6 failure case; no baseline transition
surf_shape_022_rbc_like_smooth_pit,test,rbc_like_smooth_pit,refinement_target,dice_not_improved,29.19058875538277,1.0946448257091286,0.00034394969476863875,0.00018764440076483814,3.937662535724862e-05,0.49627263045793396,0.1796875,0.9665271966527197,formal 25.6 failure case; no baseline transition
surf_shape_050_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,refinement_target,dice_not_improved,21.540373059687624,0.6019158111545962,0.000361708057690303,0.00019439111816323715,5.8140642233095266e-05,0.5915768854064642,0.47413793103448276,0.9230769230769231,formal 25.6 failure case; no baseline transition
surf_shape_113_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,refinement_target,dice_not_improved,20.978118696822616,0.49420016829575475,0.00041683517913459215,0.00011355286905787484,4.63571982025964e-05,0.46120218579234973,0.0990990990990991,0.8915094339622641,formal 25.6 failure case; no baseline transition
surf_shape_057_asymmetric_corrosion,train,asymmetric_corrosion,refinement_target,dice_not_improved,35.234080736851894,0.42496022569756686,0.00040873484645149983,8.810994418331779e-05,3.2010818629399295e-05,0.43097643097643096,0.10837438423645321,0.9746192893401016,formal 25.6 failure case; no baseline transition
surf_shape_108_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,refinement_target,dice_not_improved,12.257318871859091,0.3454573499827957,0.0006208454758160675,0.00022894423719097085,0.00011064042216033262,0.7349152542372881,0.5971685971685972,0.8966756513926325,formal 25.6 failure case; no baseline transition
surf_shape_018_rbc_like_smooth_pit,val,rbc_like_smooth_pit,refinement_target,dice_not_improved,14.845668924536636,0.3924856601884958,0.00047077587235342625,7.171208992350048e-05,1.821262555071562e-05,0.6484268125854993,0.647887323943662,0.9708333333333333,formal 25.6 failure case; no baseline transition
