split,shape_type,target_role,sample_count,refinement_applied_count,baseline_profile_rmse_mean_m,refined_profile_rmse_mean_m,oracle_profile_rmse_mean_m,baseline_Er_like_mean,refined_Er_like_mean,oracle_Er_like_mean,baseline_IoU_mean,refined_IoU_mean,oracle_IoU_mean,baseline_Dice_mean,refined_Dice_mean,oracle_Dice_mean,feature_residual_before_mean,feature_residual_after_mean,profile_rmse_improved_rate,forward_residual_improved_rate,success_credit_allowed
all,all,all,120,104,0.0004903894015870374,0.0003071277948602198,0.00011504906204288732,2.4069531839227123,1.133152912248878,0.37371979893794044,0.37319893424692785,0.5226792169297461,0.8001569618324974,0.5209331220592739,0.6556733102656129,0.8604200168646327,66.1189260299468,11.468673996577161,0.675,0.8666666666666667,False
all,all,refinement_target,82,82,0.0005095183510563877,0.00022038641318798514,7.848969549441313e-05,2.8001573937890787,0.9099413634161813,0.2892552233304937,0.3236014023399166,0.5785234653693038,0.8896647641172107,0.480524080842404,0.709451842350591,0.9408601046285133,70.59442614894292,0.5641050369556577,0.8902439024390244,1.0,True
all,all,already_pass_reference,22,22,0.0002532913497005759,0.0003391026600390606,0.0001304324134842716,0.6601285362044127,0.7733561974704848,0.29219603629307156,0.682265726538866,0.5474486698810677,0.8826151902247578,0.8073347622745057,0.6890050414149314,0.9368753414217083,37.79796015126042,0.7277822957420671,0.22727272727272727,1.0,False
all,all,excluded_negative_control,16,0,0.0007183633569005014,0.000707711936309516,0.00028126370737191405,2.7936654989702503,2.7718325828367405,0.9186959225628002,0.2024194458689453,0.2024194458689453,0.22804941108398244,0.33422720299978764,0.33422720299978764,0.34303849580876594,82.12331600328562,82.12331600328562,0.1875,0.0,False
train,all,all,72,63,0.0005089571254049225,0.00028007377809085416,0.00010283987513160729,2.7989048298944414,1.1550564035340314,0.3689094779841799,0.3536781725596722,0.5365218816835008,0.8056777663183481,0.5007319847107449,0.6663679790452665,0.8660645002274164,69.02951082871323,11.264064214594846,0.7083333333333334,0.875,False
train,all,refinement_target,51,51,0.0005374218630695753,0.00020019012782658468,7.196776716540803e-05,3.2527597829247066,0.9078345896322003,0.2946183660060461,0.3057732044749795,0.5817935806435787,0.8851725886438828,0.45997320130732633,0.7104358621433281,0.9383212568295697,70.80472070218822,0.5457808511641502,0.9019607843137255,1.0,True
train,all,already_pass_reference,12,12,0.00022376416047105636,0.00029430284892871707,0.00011782530192262883,0.604155867627259,0.729111091732336,0.2775092111622543,0.6718594755357135,0.5958351315621386,0.8959596111586325,0.800516427639339,0.7298660850934614,0.9444061345520609,48.679653293888826,0.6874679760308626,0.25,1.0,False
train,all,excluded_negative_control,9,0,0.000727914231883712,0.0007137757018045637,0.0002578012512187077,3.153392045745844,3.123907098046667,0.9117594682895055,0.2008979210715428,0.2008979210715428,0.23483131335327295,0.3319858334253243,0.3319858334253243,0.3521540337156892,86.10313159212076,86.10313159212076,0.2222222222222222,0.0,False
val,all,all,24,21,0.0004514862660433396,0.00028307752034513613,9.221467183670891e-05,2.336583268865819,1.2109111550617273,0.36333855313043634,0.4086491514616248,0.4993627508378758,0.813159401374286,0.5535054245412806,0.6394902775192398,0.8758241797771329,71.12640465985605,8.519193034489115,0.625,0.875,False
val,all,refinement_target,16,16,0.0004864766385254781,0.00023969027578327917,7.288271696281828e-05,2.714192189050351,1.0753221256277223,0.2867847983865308,0.34439908058230184,0.5379936845182778,0.8887132215961628,0.5016796431455282,0.6775940222866812,0.9403074030145209,87.09107852828754,0.4809548375686324,0.8125,1.0,True
val,all,already_pass_reference,5,5,0.0002980838427937355,0.00027943822421739554,8.869648107375305e-05,1.0246068814665565,0.8657649381593291,0.2936242856302915,0.7273964731978839,0.5433190176087654,0.8888057981233632,0.8363281746893121,0.6861294557318264,0.940442961519065,24.009926680714887,0.6477066892541432,0.4,1.0,False
val,all,excluded_negative_control,3,0,0.0005205416515546075,0.0005205416515546075,0.00020118208243571868,2.50929634021375,2.50929634021375,0.887815690931507,0.22007065992424882,0.22007065992424882,0.2841283656091474,0.35853834173857496,0.35853834173857496,0.42421568627450984,64.50894066012332,64.50894066012332,0.0,0.0,False
test,all,all,24,20,0.00047358936567707955,0.00041234011968340037,0.00017451101298290582,1.3014681610644205,0.9896841955805694,0.3985320076067264,0.39631100209399767,0.5044676887603519,0.7705921088331559,0.5489642316228539,0.6397723366730254,0.8280824038637813,52.379693003738346,15.031984304612152,0.625,0.8333333333333334,False
test,all,refinement_target,15,15,0.0004392242369111867,0.0002684629966484331,0.0001066450289133984,1.353005489115917,0.7406982479227392,0.27365565817384246,0.36203308495549186,0.6106368396778639,0.9059531394156441,0.5278311381383355,0.7400878497901217,0.9500817355331799,52.28299546327455,0.7151008146596111,0.9333333333333333,1.0,True
test,all,already_pass_reference,5,5,0.0002793641107582632,0.0005062866425255503,0.00020242541364273283,0.4299845955274376,0.7871357105531969,0.32601616726981286,0.6621099822874141,0.43545081411879905,0.8443979720848519,0.7947053529841004,0.5938141222695646,0.9152338178115056,25.469930079497807,0.9046122695368813,0.0,1.0,False
test,all,excluded_negative_control,4,0,0.0008452401671976983,0.00083444617751184,0.00039411545241877486,2.1975576377925385,2.176567105581648,0.9574631184011827,0.1926044661216233,0.1926044661216233,0.17073091508420496,0.32103693048823967,0.32103693048823967,0.2616456426688808,86.37951243577828,86.37951243577828,0.25,0.0,False
