sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
0,16.648761749267578,0.17378999292850494,45872.48828125,190.77928161621094,772,768,0.976893424987793,0.29760199785232544,5.5064897537231445,0.2887484133243561,5.503997802734375,3.0,1.0,7.0,three,5.0
1,18.4650821685791,0.27127423882484436,45074.3671875,190.0650634765625,643,666,0.8834532499313354,5.116132736206055,5.7567901611328125,5.125628471374512,5.757575511932373,3.0,1.0,7.0,three,5.0
2,26.22153091430664,0.18515799939632416,36616.75,151.4724578857422,838,840,0.9068182110786438,1.0603134632110596,3.0785179138183594,1.0552763938903809,3.080808162689209,3.0,1.0,7.0,three,5.0
3,39.62949752807617,0.13155488669872284,50199.546875,185.8397674560547,1222,1204,0.9723577499389648,6.16153621673584,5.270214557647705,6.154360294342041,5.237256050109863,3.0,1.0,7.0,three,5.0
4,35.658851623535156,2.304959297180176,109088.375,320.2242431640625,1060,864,0.7333333492279053,1.6407984495162964,4.410139083862305,1.5075377225875854,4.3434343338012695,3.0,1.0,7.0,three,5.0
5,26.635845184326172,14.506185531616211,137840.34375,342.785888671875,1649,665,0.2542005479335785,-1.62332284450531,7.558238506317139,-4.296482086181641,5.55555534362793,3.0,1.0,7.0,three,5.0
6,35.53406524658203,0.5178214311599731,34885.03125,127.10906219482422,1269,1223,0.9125096201896667,3.864654064178467,5.9863409996032715,3.8231427669525146,5.911858081817627,3.0,1.0,7.0,three,5.0
7,60.90350341796875,35.517330169677734,73823.34375,131.14163208007812,2487,1325,0.5025621056556702,-2.6679537296295166,5.120078086853027,-4.4674882888793945,3.0818369388580322,3.0,1.0,7.0,three,5.0
8,82.42178344726562,54.8671875,153787.359375,303.8509826660156,4257,1785,0.3944149613380432,2.086064577102661,4.988100528717041,3.9244542121887207,3.7629518508911133,3.0,1.0,7.0,three,5.0
9,9.763008117675781,0.09995076805353165,37988.9609375,161.97853088378906,983,977,0.9878296256065369,7.159576892852783,6.165109634399414,7.16080379486084,6.171334743499756,3.0,1.0,7.0,three,5.0
10,4.905214309692383,0.18210086226463318,36803.37109375,151.01512145996094,726,719,0.9113756418228149,-5.297977447509766,3.9869771003723145,-5.296195983886719,3.9728293418884277,3.0,1.0,7.0,three,5.0
11,64.04195404052734,89.66202545166016,164952.453125,258.6391296386719,4861,1513,0.29711028933525085,1.3286397457122803,5.554267406463623,0.06053069233894348,3.2909398078918457,3.0,1.0,7.0,three,5.0
12,49.512451171875,0.6730212569236755,68421.4375,245.48377990722656,945,912,0.8440913558006287,1.320810317993164,7.058094501495361,1.2609097957611084,7.092857837677002,3.0,1.0,7.0,three,5.0
13,14.391900062561035,0.25578898191452026,48179.609375,191.01339721679688,741,747,0.8670012354850769,7.873680114746094,6.821385383605957,7.870779514312744,6.782550811767578,3.0,1.0,7.0,three,5.0
14,13.723066329956055,0.1486317366361618,39942.09765625,165.99159240722656,853,864,0.9227323532104492,0.09446410089731216,6.114959716796875,0.07537688314914703,6.111111640930176,3.0,1.0,7.0,three,5.0
15,12.173454284667969,0.1320928931236267,26002.791015625,123.65562438964844,1118,1119,0.9919857382774353,-1.7792448997497559,3.1013171672821045,-1.7893085479736328,3.0972824096679688,3.0,1.0,7.0,three,5.0
16,19.733713150024414,0.3107070326805115,62672.9609375,220.36544799804688,891,888,0.8865323662757874,4.7974724769592285,6.156968116760254,4.824120998382568,6.161616325378418,3.0,1.0,7.0,three,5.0
17,14.806831359863281,0.0856061577796936,30785.287109375,139.08058166503906,1561,1560,0.9929757118225098,-0.96415776014328,6.171515941619873,-0.959895670413971,6.166731357574463,3.0,1.0,7.0,three,5.0
18,25.963043212890625,0.2528616786003113,41130.60546875,160.83653259277344,733,729,0.8888888955116272,3.339926242828369,5.461573123931885,3.3919599056243896,5.454545497894287,3.0,1.0,7.0,three,5.0
19,15.088029861450195,0.539006233215332,67224.5703125,240.05262756347656,577,581,0.7897990942001343,2.5386464595794678,5.608423709869385,2.4620089530944824,5.67847204208374,3.0,1.0,7.0,three,5.0
20,12.200900077819824,0.14553827047348022,24269.73046875,117.62276458740234,487,492,0.9540917873382568,-7.230454444885254,5.248791694641113,-7.236180305480957,5.252525329589844,3.0,1.0,7.0,three,5.0
